,formula,element,H_length,spacegroup.number,density,formation_energy,volume,energy,energy_per_atom,nsites,nelements,e_above_hull,atomic_radius,covalent_radius,H_and_X_ar,H_and_X_cr,electronegativity_Pauling,electronegativity_Pauling_abs,electronegativity_Pauling_pow2,total_magnetization
44,CaH2F4,F,1.153041735,70,2.553581596,-2.938705807,153.5795021,-69.46415449,-4.961725321,14,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.32E-05
165,NaHF2,F,1.148305312,166,2.072712384,-2.529871599,49.66647375,-17.51254633,-4.378136583,4,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
265,NaHF2,F,1.146672018,5,2.578863089,-2.339260549,39.91848798,-16.75010213,-4.187525533,4,3,0.19061105,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.24E-05
266,HF,F,0.948887757,36,1.721541338,-1.78603434,38.59484955,-16.46471095,-4.116177738,4,2,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
289,SbH7F11,F,0.932802199,1,2.627386139,-2.004906373,1067.461673,-402.6321439,-4.238233093,95,3,0.051122669,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.20626782
316,HNF2,F,0.94314834,1,1.343313254,-0.46902357,262.1207747,-59.66447719,-3.729029824,16,3,0.791402329,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0027485
342,H3F2,F,0.973965241,1,1.407697649,-1.489334478,96.77696448,-40.01396528,-4.001396528,10,2,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.00E-08
394,H4NF2,F,1.106579902,166,1.490732999,-0.854470388,124.836237,-59.46762364,-4.247687403,14,3,0.567894254,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00033765
408,NaHF2,F,1.146672018,5,2.216127105,-2.458447279,46.45235147,-17.22684905,-4.306712263,4,3,0.07142432,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.17E-05
462,CsH2F3,F,1.021175868,19,3.151502703,-2.367466805,808.9725942,-206.7306154,-4.306887821,48,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,7.50E-08
495,InH3F3,F,0.944334951,13,2.013726959,-1.021773378,288.3446702,-47.76991552,-3.412136823,14,3,0.61039962,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0134745
552,H6OF4,F,1.001691815,2,1.566546104,-1.781689088,207.8462085,-97.92973189,-4.45135145,22,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
556,H7NF4,F,0.998974868,161,1.483322465,-1.568076514,217.3028527,-110.2594951,-4.594145627,24,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00221305
557,H11NF8,F,0.973984724,14,1.552415311,-1.693094122,757.6590039,-355.2634359,-4.440792948,80,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
568,RbHF2,F,1.152463033,140,3.155639506,-2.539831167,130.9981863,-34.44139134,-4.305173918,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
732,KH4F5,F,0.979746686,88,1.749537857,-2.153704423,262.1916436,-85.41828098,-4.270914049,20,3,0.015507556,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,2.46E-05
868,LiHF2,F,1.137408436,12,2.322013091,-2.571746629,32.85713898,-18.2767463,-4.569186575,4,3,0.021543405,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
926,H4NF3,F,1.100498111,88,1.064309241,-0.918345442,468.2711936,-130.0793311,-4.064979097,32,3,0.641402521,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,4.29E-05
932,SbH7F12,F,0.996166455,5,2.558174576,-2.114370284,231.6004534,-86.14116351,-4.307058176,20,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.31E-05
942,CsHF2,F,1.154205916,123,3.457611539,-2.519838672,82.56092306,-17.05559399,-4.263898498,4,3,0.016606764,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
976,CsHF2,F,1.15376739,140,3.699817551,-2.536445436,154.312258,-34.24404209,-4.280505261,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.00036145
995,H8NF5,F,0.986968101,88,1.391604122,-1.616233648,279.3702792,-127.2007744,-4.542884801,28,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0004088
1007,K2H5F7,F,0.9898129,14,2.003340671,-2.314740002,716.903057,-243.0787687,-4.340692298,56,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,5.08E-06
1008,KH3F4,F,1.001376648,167,1.95830699,-2.265006388,200.3115851,-69.26372114,-4.328982571,16,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1040,BaH6F8,F,1.014107755,190,2.84443673,-2.407159482,689.7111284,-275.3167364,-4.588612273,60,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,3.31E-05
1199,LiHF2,F,1.137408436,12,2.600900874,-2.230949377,29.3339541,-16.91355729,-4.228389323,4,3,0.362340657,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1228,RbHF2,F,1.142878522,46,3.15655724,-2.538103977,130.9601001,-34.42757382,-4.303446728,8,3,0.00172719,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1394,Sb2HF13,F,1.141645775,2,3.0978059,-2.134111821,263.4661121,-64.1106767,-4.006917294,16,3,0.095137678,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.0384333
1405,Fe2H3F2,F,1.141001621,85,0.394867788,0.208075969,2568.778398,-90.3054902,-3.225196079,28,3,1.411464088,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,9.003347475
1448,KHF2,F,1.150822842,140,2.30384049,-2.552579565,112.5886626,-34.80310827,-4.350388534,8,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1467,LiHF2,F,1.147369292,166,2.156241152,-2.593290034,35.38319765,-18.36291992,-4.59072998,4,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
1511,Na2HF4,F,1.142938991,10,2.112850591,-2.333276433,96.65373764,-27.87931824,-3.982759749,7,3,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,1.0014844
2133,H13C3NF4,F,0.99289833,2,1.197146252,-0.953397709,771.9696852,-413.8116427,-4.92632908,84,4,0.077339261,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0
2203,CaAs2H6F18,F,0.952662347,14,2.615365937,-2.403983662,1366.188241,-484.9294404,-4.490087411,108,4,0,0.5,0.71,0.75,1.08,1.78,1.78,3.1684,0.000262125
